rad_name_ja,grade,hint_group,kunyomi,meaning,kstroke,examples,kunyomi_ja,ka_utf,rad_order,txt_books,kname,rad_utf,dick,rad_name,dicn,mn_hint,rad_stroke,onyomi_ja,rad_meaning,onyomi,ka_id,rad_position_ja,rad_position
"ほうへん",3.0,2.0,"n/a","family,tribe",11.0,"[ [ ""家族 (かぞく)"", ""family"" ], [ ""民族 (みんぞく)"", ""race, nation"" ], [ ""水族館 (すいぞくかん)"", ""aquarium"" ], [ ""遺族 (いぞく)"", ""bereaved family"" ] ]","","族",91.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""lesson"" }, { ""chapter"" : ""8"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""41"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""13"", ""txt_bk"" : ""macquarie"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtAd4"" }, { ""chapter"" : ""14"", ""txt_bk"" : ""txtGenki"" }, { ""chapter"" : ""1"", ""txt_bk"" : ""txtHarrison"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtSFJ4"" }, { ""chapter"" : ""13"", ""txt_bk"" : ""txtAP"" }, { ""chapter"" : ""13"", ""txt_bk"" : ""txtLookLearn"" } ]","(ka)zoku","",651.0,"houhen",2090.0,"Group of people [5] under one flag 方 <span class='note'>(orig. ""direction"")</span> who use the same kind of arrows 矢.",4.0,"ゾク","direction, flag","zoku","ka_55","へん","hen"
"たつ",4.0,1.0,"kisou, seru, kiso, se","compete",20.0,"[ [ ""競争する (きょうそうする)"", ""compete"" ], [ ""競走する (きょうそうする)"", ""race [v.i.]"" ], [ ""競争率 (きょうそうりつ)"", ""ratio of successful (applicants)"" ], [ ""競技 (きょうぎ)"", ""game, match"" ], [ ""競売 (きょうばい)"", ""auction"" ], [ ""競輪 (けいりん)"", ""bicycle racing"" ], [ ""競馬 (けいば)"", ""horse racing"" ], [ ""競う (きそう)"", ""compete, contend"" ], [ ""競る (せる)"", ""compete, bid"" ] ]","きそう、せる、きそ、せ","競",148.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""5"", ""txt_bk"" : ""jtr"" } ]","kyou-kiso(u)","⽴",1200.0,"tatsu",3364.0,"Two strong guys 兄 standing 立 face to face.",5.0,"キョウ、ケイ","to stand","kyou, kei","ka_550","",""
"はねぼう",4.0,6.0,"arasou, arasoi, araso","contend, dispute, argue",6.0,"[ [ ""競争する (きょうそうする)"", ""compete"" ], [ ""戦争 (せんそう)"", ""war"" ], [ ""紛争 (ふんそう)"", ""dispute"" ], [ ""論争 (ろんそう)"", ""controversy, dispute"" ], [ ""闘争 (とうそう)"", ""strife, conflict"" ], [ ""争点 (そうてん)"", ""point at issue"" ], [ ""争う (あらそう)"", ""dispute, argue, compete"" ] ]","あらそう、あらそい、あらそ","争",7.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""txtAd4"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""txtSFJ4"" }, { ""chapter"" : ""25"", ""txt_bk"" : ""txtLookLearn"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtIKB"" }, { ""chapter"" : ""7"", ""txt_bk"" : ""jtw"" }, { ""chapter"" : ""5"", ""txt_bk"" : ""jtr"" }, { ""chapter"" : ""7"", ""txt_bk"" : ""jt"" }, { ""txt_bk"" : ""mosr"", ""chapter"" : ""14"" } ]","sou-araso(u)","⼅",1281.0,"hanebou",186.0,"Open mouth ク hitting an opponent with words; hand [38] with a stick 亅.",1.0,"ソウ","vertical stroke with a hook","sou","ka_551","",""
"げん",5.0,4.0,"hikiiru, hiki","rate, lead, command",11.0,"[ [ ""引率する (いんそつする)"", ""lead (a group)"" ], [ ""統率する (とうそつする)"", ""command, lead"" ], [ ""率先する (そっせんする)"", ""take initiative"" ], [ ""率直な (そっちょくな)"", ""frank, openhearted"" ], [ ""軽率な (けいそつな)"", ""rash"" ], [ ""率 (りつ)"", ""rate, proportion"" ], [ ""比率 (ひりつ)"", ""rate, proportion"" ], [ ""利率 (りりつ)"", ""interest rate"" ], [ ""確率 (かくりつ)"", ""probability"" ], [ ""能率 (のうりつ)"", ""efficiency"" ], [ ""競争率 (きょうそうりつ)"", ""ratio of successful (applicants)"" ], [ ""率いる (ひきいる)"", ""spearhead (a group)"" ] ]","ひきいる、ひき","率",122.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""6"", ""txt_bk"" : ""txtIKB"" }, { ""chapter"" : ""9"", ""txt_bk"" : ""jtr"" } ]","hiki(iru)","⽞",1343.0,"gen",319.0,"Highly rated, master dyer has many 十 [59] pots for dyeing 玄 cloth.",5.0,"ソツ、リツ","darkness","sotsu, ritsu","ka_552","",""
"ぎょうにんべん",4.0,1.0,"eru, uru, e, u","acquire, gain, profit",11.0,"[ [ ""得な (とくな)"", ""profitable, economical"" ], [ ""得意な (とくいな)"", ""be good at"" ], [ ""お得意さん (おとくいさん)"", ""customer"" ], [ ""所得 (しょとく)"", ""income"" ], [ ""損得 (そんとく)"", ""loss and gain"" ], [ ""納得する (なっとくする)"", ""convince oneself, consent"" ], [ ""説得する (せっとくする)"", ""persuade"" ], [ ""習得する (しゅうとくする)"", ""learn, master"" ], [ ""獲得する (かくとくする)"", ""obtain, acquire"" ], [ ""得る (える/うる)"", ""obtain, acquire"" ], [ ""得難い (えがたい)"", ""hard to get"" ], [ ""止むを得ない (やむをえない)"", ""unavoidable, inevitable"" ] ]","える、うる、え、う","得",70.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""txtMajoFilm"" }, { ""chapter"" : ""42"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""5"", ""txt_bk"" : ""jtw"" }, { ""chapter"" : ""5"", ""txt_bk"" : ""jt"" }, { ""txt_bk"" : ""mosr"", ""chapter"" : ""5"" } ]","toku-e(ru)","⼻",351.0,"gyouninben",1622.0,"Make it a rule 寸 to go 彳 to work at sunrise 旦; the early bird catches the worm.",3.0,"トク","step, stride, street, to go","toku","ka_553","へん","hen"
"ゆみへん",5.0,1.0,"haru, hari, ha","spread, strain, stretch",11.0,"[ [ ""拡張する (かくちょうする)"", ""extend, expand"" ], [ ""緊張する (きんちょうする)"", ""be nervous"" ], [ ""主張する (しゅちょうする)"", ""assert, claim, insist"" ], [ ""出張する (しゅっちょうする)"", ""go on a business trip"" ], [ ""張る (はる)"", ""stick, stretch"" ], [ ""頑張る (がんばる)"", ""try one&apos;s best"" ], [ ""威張る (いばる)"", ""swagger, put on airs"" ], [ ""引っ張る (ひっぱる)"", ""pull, stretch"" ] ]","はる、はり、は","張",68.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""5"", ""txt_bk"" : ""txtIKB"" }, { ""chapter"" : ""13"", ""txt_bk"" : ""jtr"" } ]","chou-ha(ru)","",348.0,"yumihen",1570.0,"Shooting with a long 長 bow 弓; extra stretch of the arms and the arrows go a long way.",3.0,"チョウ","bow （in archery）","chou","ka_554","へん","hen"
"にんべん",5.0,6.0,"atai","price, value",8.0,"[ [ ""価格 (かかく)"", ""price"" ], [ ""価値 (かち)"", ""value"" ], [ ""物価 (ぶっか)"", ""cost-of-living"" ], [ ""定価 (ていか)"", ""list price"" ], [ ""高価な (こうかな)"", ""expensive"" ], [ ""安価な (あんかな)"", ""cheap"" ], [ ""評価する (ひょうかする)"", ""evaluate"" ], [ ""価 (あたい)"", ""value"" ] ]","あたい","価",11.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""35"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""14"", ""txt_bk"" : ""jtw"" }, { ""chapter"" : ""14"", ""txt_bk"" : ""jt"" }, { ""txt_bk"" : ""cijr"", ""chapter"" : ""22"" } ]","ka-atai","⺅",64.0,"ninben",422.0,"Person イ keeping valuables under cover [18].",2.0,"カ","person ","ka","ka_555","へん","hen"
"てへん","n/a",1.0,"osaeru, osa","suppress, control",7.0,"[ [ ""抑圧する (よくあつする)"", ""oppress"" ], [ ""抑制する (よくせいする)"", ""control, restrain"" ], [ ""抑止力 (よくしりょく)"", ""(nuclear) deterrent"" ], [ ""抑揚 (よくよう)"", ""intonation, inflection"" ], [ ""抑える (おさえる)"", ""control, restrain"" ] ]","おさえる、おさ","抑",77.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIntermJpn"" } ]","yoku-osa(eru)","⺘",193.0,"tehen",1851.0,"Keeping people under control; actions 扌 of officials holding seal 卬.",3.0,"ヨク","hand","yoku","ka_556","へん","hen"
"ゆみへん",2.0,1.0,"yowai, yowaru, yowamaru, yowameru, yowa","weak",10.0,"[ [ ""弱点 (じゃくてん)"", ""weakness"" ], [ ""弱震 (じゃくしん)"", ""mild earthquake"" ], [ ""弱者 (じゃくしゃ)"", ""the weak"" ], [ ""十ドル弱 (じゅうドルじゃく)"", ""a little less than ten dollors"" ], [ ""弱い (よわい)"", ""weak, frail"" ], [ ""弱る (よわる)"", ""be weakened, be troubled [v.i.]"" ], [ ""弱める (よわめる)"", ""weaken [v.t.]"" ], [ ""弱まる (よわまる)"", ""abate, be weakened [v.i.]"" ] ]","よわい、よわる、よわまる、よわめる、よわ","弱",68.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""6"", ""txt_bk"" : ""txtMajoFilm"" }, { ""chapter"" : ""38"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""18"", ""txt_bk"" : ""macquarie"" }, { ""chapter"" : ""15"", ""txt_bk"" : ""txtLookLearn"" } ]","yowa(i)","",792.0,"yumihen",650.0,"Frozen ン bows 弓 are brittle/weak.",3.0,"ジャク","bow （in archery）","jaku","ka_557","へん","hen"
"てへん",5.0,1.0,"waza","skill, technique",7.0,"[ [ ""技術 (ぎじゅつ)"", ""technique"" ], [ ""技能 (ぎのう)"", ""technical skill"" ], [ ""技巧 (ぎこう)"", ""skill, technique, craftsmanship"" ], [ ""特技 (とくぎ)"", ""special skill"" ], [ ""競技 (きょうぎ)"", ""game, match"" ], [ ""演技する (えんぎする)"", ""act, perform"" ], [ ""技 (わざ)"", ""art, technique"" ] ]","わざ","技",77.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtMajoFilm"" }, { ""chapter"" : ""12"", ""txt_bk"" : ""jtw"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""jtr"" }, { ""chapter"" : ""12"", ""txt_bk"" : ""jt"" } ]","gi-waza","⺘",185.0,"tehen",1853.0,"Skilled manual扌worker able to do many 十 activities 又.",3.0,"ギ","hand","gi","ka_558","へん","hen"
"ぎょうにんべん",6.0,1.0,"n/a","law, rhythm, regulation",9.0,"[ [ ""法律 (ほうりつ)"", ""law"" ], [ ""規律 (きりつ)"", ""rules"" ], [ ""一律 (いちりつ)"", ""uniformity, monotony"" ], [ ""旋律 (せんりつ)"", ""melody"" ], [ ""不文律 (ふぶんりつ)"", ""unwritten law"" ], [ ""自律神経 (じりつしんけい)"", ""autonomic nerves"" ], [ ""調律する (ちょうりつする)"", ""tune (instrument)"" ], [ ""律儀な (りちぎな)"", ""conscientious"" ] ]","","律",70.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""25"", ""txt_bk"" : ""txtLookLearn"" }, { ""chapter"" : ""11"", ""txt_bk"" : ""jtr"" } ]","(hou)ritsu","⼻",268.0,"gyouninben",1608.0,"Official with brush 聿 going 彳 from place to place to write laws on notice boards.",3.0,"リツ、リチ","step, stride, street, to go","ritsu, richi","ka_559","へん","hen"
"ちから",3.0,50.0,"n/a","endeavor",10.0,"[ [ ""勉強する (べんきょうする)"", ""study"" ], [ ""勤勉な (きんべんな)"", ""diligent"" ] ]","","勉",24.0,"[ { ""chapter"" : ""10"", ""txt_bk"" : ""lesson"" }, { ""chapter"" : ""21"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""txtAd3"" }, { ""chapter"" : ""11"", ""txt_bk"" : ""txtGenki"" }, { ""chapter"" : ""13"", ""txt_bk"" : ""txtSFJ2"" }, { ""chapter"" : ""13"", ""txt_bk"" : ""txtSFJ"" }, { ""chapter"" : ""9"", ""txt_bk"" : ""txtHarrison"" }, { ""chapter"" : ""18"", ""txt_bk"" : ""txtAP"" }, { ""chapter"" : ""8"", ""txt_bk"" : ""txtLookLearn"" } ]","ben(kyou)","⼒",2088.0,"chikara",228.0,"Strong men 免 <span class='note'>(orig. ""open mouth"" ク, ""double mouth""  [46], ""high legs"" 儿)</span> showing their strength 力.",2.0,"ベン","power","ben","ka_56","",""
"すん",6.0,6.0,"tattoi, tattobu, toutoi, toutobu, tatto, touto","honor, respect, valuable, noble",12.0,"[ [ ""尊敬する (そんけいする)"", ""respect (person)"" ], [ ""尊重する (そんちょうする)"", ""respect (idea, right)"" ], [ ""尊敬語 (そんけいご)"", ""honorific word"" ], [ ""尊大な (そんだいな)"", ""condescending, arrogant"" ], [ ""自尊心 (じそんしん)"", ""self-esteem"" ], [ ""尊い (とうとい/たっとい)"", ""precious, valuable"" ], [ ""尊ぶ (とうとぶ/たっとぶ)"", ""value highly"" ] ]","たっとい、たっとぶ、とうとい、とうとぶ、たっと、とうと","尊",49.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""jtr"" } ]","son-touto(i)","⼨",1500.0,"sun",607.0,"Opening [11] a wine bottle 酉; protocol 寸 <span class='note'>(orig. ""law"")</span> honoring a guest.",3.0,"ソン","inch, (2.25 cm)","son","ka_560","",""
"ぼくづくり",6.0,6.0,"uyamau, uyamai uyama","respect",12.0,"[ [ ""尊敬する (そんけいする)"", ""respect (person)"" ], [ ""敬愛する (けいあいする)"", ""respect and love (person)"" ], [ ""敬遠する (けいえんする)"", ""keep at a distance"" ], [ ""敬意 (けいい)"", ""respect, honour [n.]"" ], [ ""敬語 (けいご)"", ""honorific word"" ], [ ""敬具 (けいぐ)"", ""Sincerely yours"" ], [ ""敬称 (けいしょう)"", ""title of honour"" ], [ ""敬老の日 (けいろうのひ)"", ""Respect-for-the-Aged Day"" ], [ ""失敬な (しっけいな)"", ""rude, impolite"" ], [ ""敬う (うやまう)"", ""show respect"" ] ]","うやまう、うやまい うやま","敬",86.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""jtr"" } ]","uyama(u)","⺙",1117.0,"bokuzukuri",2055.0,"Offering 攵 <span class='note'>(orig. ""activity"")</span> flowers [8] and song 句 in respect.",4.0,"ケイ","activity, to strike, hit","kei","ka_561","つくり","tsukuri"
"みる",4.0,2.0,"n/a","view",18.0,"[ [ ""観点 (かんてん)"", ""point of view"" ], [ ""観念 (かんねん)"", ""idea, notion"" ], [ ""景観 (けいかん)"", ""scenery"" ], [ ""外観 (がいかん)"", ""appearance, exterior"" ], [ ""歴史観 (れきしかん)"", ""historical viewpoint"" ], [ ""先入観 (せんにゅうかん)"", ""preconception"" ], [ ""主観的な (しゅかんてきな)"", ""subjective"" ], [ ""客観的な (きゃっかんてきな)"", ""objective [adj.]"" ], [ ""楽観的な (らっかんてきな)"", ""optimistic"" ], [ ""悲観的な (ひかんてきな)"", ""pessimistic"" ], [ ""観光する (かんこうする)"", ""go sightseeing"" ], [ ""観察する (かんさつする)"", ""observe"" ] ]","","観",179.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""7"", ""txt_bk"" : ""txtIKB"" }, { ""chapter"" : ""1"", ""txt_bk"" : ""jtr"" } ]","kan(koukyaku)","⾒",1212.0,"miru",4296.0,"People [5] and birds 隹 see 見 things 一 differently.",7.0,"カン","to see","kan","ka_562","",""
"のぎへん",4.0,1.0,"tane","variety, seed, type, kind",14.0,"[ [ ""人種 (じんしゅ)"", ""race (of people)"" ], [ ""職種 (しょくしゅ)"", ""occupational category"" ], [ ""業種 (ぎょうしゅ)"", ""type of industry"" ], [ ""品種 (ひんしゅ)"", ""brand, kind"" ], [ ""各種 (かくしゅ)"", ""each kind"" ], [ ""一種 (いっしゅ)"", ""one variety, one class"" ], [ ""種子 (しゅし)"", ""seed"" ], [ ""種 (たね)"", ""seed"" ] ]","たね","種",145.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""jtr"" } ]","tane","⽲",823.0,"nogihen",3295.0,"Harvested plants 禾 piled up 重 according to their variety.",5.0,"シュ","grain","shu","ka_563","へん","hen"
"にくづき",5.0,1.0,"n/a","ability, function, Noh play",10.0,"[ [ ""能 (のう)"", ""talent, Noh drama"" ], [ ""能面 (のうめん)"", ""Noh mask"" ], [ ""能力 (のうりょく)"", ""ability"" ], [ ""能率 (のうりつ)"", ""efficiency"" ], [ ""才能 (さいのう)"", ""talent"" ], [ ""本能 (ほんのう)"", ""instinct"" ], [ ""機能 (きのう)"", ""function"" ], [ ""万能な (ばんのうな)"", ""all-purpose"" ], [ ""有能な (ゆうのうな)"", ""capable, skillful"" ], [ ""芸能人 (げいのうじん)"", ""celebrity"" ], [ ""可能性 (かのうせい)"", ""potentiality, possibility"" ], [ ""放射能 (ほうしゃのう)"", ""radioactivity"" ] ]","","能",96.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""5"", ""txt_bk"" : ""txtMajoFilm"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtIKB"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""jtw"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""jt"" }, { ""txt_bk"" : ""mosr"", ""chapter"" : ""9"" }, { ""txt_bk"" : ""mntr"", ""chapter"" : ""3"" } ]","nou(ryoku)","",888.0,"nikuzuki",853.0,"Two old ヒヒ  actors expressing the individuality ム of a personality  月 on the stage.",4.0,"ノウ","meat, flesh","nou","ka_564","",""
"えんにょう",6.0,1.0,"nobiru, noberu, nobe, nobasu, no","extend, postpone",8.0,"[ [ ""延期する (えんきする)"", ""postpone"" ], [ ""延滞する (えんたいする)"", ""be in arrears"" ], [ ""延長する (えんちょうする)"", ""extend, elongate"" ], [ ""延ばす (のばす)"", ""postpone, prolong [v.t.]"" ], [ ""延びる (のびる)"", ""be postponed [v.i.]"" ], [ ""延べる (のべる)"", ""lengthen, spread [v.t.]"" ], [ ""延べ (のべ)"", ""in total"" ] ]","のびる、のべる、のべ、のばす、の","延",64.0,"[ { ""chapter"" : ""16"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""1"", ""txt_bk"" : ""txtMajoFilm"" }, { ""chapter"" : ""17"", ""txt_bk"" : ""txtSFJ3"" }, { ""chapter"" : ""17"", ""txt_bk"" : ""txtSFJ"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""txtIKB"" }, { ""chapter"" : ""15"", ""txt_bk"" : ""jtr"" } ]","en-no(biru)","⼵",1952.0,"rennyou",1547.0,"Travel 廴 time prolonged when pulling ノ a stubborn mule that stopped 止 in the middle of the road.",3.0,"エン","to move, stretch","en","ka_565","にょう","nyou"
"くさかんむり",3.0,6.0,"kusuri","drug, medicine",16.0,"[ [ ""薬品 (やくひん)"", ""medicine, chemical [n.]"" ], [ ""薬局 (やっきょく)"", ""pharmacy"" ], [ ""薬味 (やくみ)"", ""spice"" ], [ ""麻薬 (まやく)"", ""narcotic drug"" ], [ ""火薬 (かやく)"", ""gunpowder"" ], [ ""農薬 (のうやく)"", ""agricultural chemicals"" ], [ ""胃腸薬 (いちょうやく)"", ""medicine for digestion"" ], [ ""薬 (くすり)"", ""medicine"" ], [ ""薬屋 (くすりや)"", ""pharmacy"" ], [ ""薬指 (くすりゆび)"", ""ring finger"" ] ]","くすり","薬",71.0,"[ { ""chapter"" : ""17"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""1"", ""txt_bk"" : ""txtMajoFilm"" }, { ""chapter"" : ""12"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""15"", ""txt_bk"" : ""macquarie"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""txtAd4"" }, { ""chapter"" : ""5"", ""txt_bk"" : ""txtHarrison"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""txtSFJ4"" }, { ""chapter"" : ""20"", ""txt_bk"" : ""txtAP"" }, { ""chapter"" : ""17"", ""txt_bk"" : ""txtLookLearn"" } ]","kusuri","⺾",1539.0,"kusakanmuri",4074.0,"Comforting/healing 楽 herbs [8].",3.0,"ヤク","grass","yaku","ka_566","かんむり","kanmuri"
"たけかんむり",4.0,1.0,"wara, e, warau, warai, emu, emi","laugh",10.0,"[ [ ""爆笑する (ばくしょうする)"", ""laugh hard"" ], [ ""苦笑する (くしょうする)"", ""smile bitterly"" ], [ ""冷笑する (れいしょうする)"", ""laugh scornfully"" ], [ ""一笑する (いっしょうする)"", ""laugh off"" ], [ ""笑う (わらう)"", ""laugh, smile [v.i.]"" ], [ ""笑い話 (わらいばなし)"", ""funny story"" ], [ ""笑顔 (えがお)"", ""smiling face"" ], [ ""笑み (えみ)"", ""smile [n.]"" ], [ ""微笑む (ほほえむ)"", ""smile [v.i.]"" ] ]","わら、え、わらう、わらい、えむ、えみ","笑",154.0,"[ { ""chapter"" : ""12"", ""txt_bk"" : ""txtIntermJpn"" }, { ""chapter"" : ""1"", ""txt_bk"" : ""txtMajoFilm"" }, { ""chapter"" : ""36"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""txtAd4"" }, { ""chapter"" : ""20"", ""txt_bk"" : ""txtGenki"" }, { ""chapter"" : ""6"", ""txt_bk"" : ""txtHarrison"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""txtSFJ4"" }, { ""chapter"" : ""10"", ""txt_bk"" : ""txtAP"" }, { ""chapter"" : ""22"", ""txt_bk"" : ""txtLookLearn"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""jtw"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""jt"" } ]","wara(u)","⺮",1692.0,"takekanmuri",3374.0,"Big 大 acrobat with bamboo 竹 stick ノ makes people laugh.",6.0,"ショウ","bamboo","shou","ka_567","かんむり","kanmuri"
"あらず",5.0,1.0,"n/a","is not, mistake, non-, un-",8.0,"[ [ ""非 (ひ)"", ""faulty, non-"" ], [ ""非常に (ひじょうに)"", ""very, extremely"" ], [ ""非常事態 (ひじょうじたい)"", ""state of emergency"" ], [ ""非常口 (ひじょうぐち)"", ""emergency exit"" ], [ ""非常識 (ひじょうしき)"", ""lack of common sense"" ], [ ""非売品 (ひばいひん)"", ""article not for sale"" ], [ ""非公式な (ひこうしきな)"", ""informal"" ], [ ""非科学的な (ひかがくてきな)"", ""unscientific"" ], [ ""非難する (ひなんする)"", ""blame [v.t.]"" ], [ ""是非 (ぜひ)"", ""certainly, right or wrong"" ] ]","","非",213.0,"[ { ""chapter"" : ""2"", ""txt_bk"" : ""txtMajoFilm"" }, { ""chapter"" : ""45"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""6"", ""txt_bk"" : ""txtHarrison"" }, { ""chapter"" : ""17"", ""txt_bk"" : ""txtAP"" }, { ""chapter"" : ""11"", ""txt_bk"" : ""jtw"" }, { ""chapter"" : ""11"", ""txt_bk"" : ""jt"" }, { ""txt_bk"" : ""cijr"", ""chapter"" : ""18"" } ]","(ze)hi","⾮",598.0,"arazu",5080.0,"Please view the animation in the radical field to the left.",8.0,"ヒ","wrong, non-","hi","ka_568","",""
"はば",5.0,1.0,"tsune, toko","normal, regular, ever-, always",11.0,"[ [ ""常識 (じょうしき)"", ""common sense"" ], [ ""常緑樹 (じょうりょくじゅ)"", ""evergreen tree"" ], [ ""常用漢字 (じょうようかんじ)"", ""common use kanji"" ], [ ""非常識 (ひじょうしき)"", ""lack of common sense"" ], [ ""非常口 (ひじょうぐち)"", ""emergency exit"" ], [ ""正常な (せいじょうな)"", ""normal"" ], [ ""異常な (いじょうな)"", ""abnormal"" ], [ ""日常 (にちじょう)"", ""daily, everyday"" ], [ ""常に (つねに)"", ""always, customarily"" ], [ ""常夏 (とこなつ)"", ""everlasting summer"" ] ]","つね、とこ","常",59.0,"[ { ""chapter"" : ""2"", ""txt_bk"" : ""txtMajoFilm"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""txtIKB"" }, { ""chapter"" : ""8"", ""txt_bk"" : ""jtw"" }, { ""chapter"" : ""8"", ""txt_bk"" : ""jt"" }, { ""txt_bk"" : ""cijr"", ""chapter"" : ""18"" } ]","jou-tsune","⼱",1657.0,"haba",1364.0,"To a surgeon, white gowns 巾 and a small 小 cover 冖 over their mouths 口 is a normal thing.",3.0,"ジョウ","cloth","jou","ka_569","",""
"ゆみへん",2.0,1.0,"tsuyo, tsuyoi, tsuyomeru, tsuyomaru, shi, shiiru","strong",11.0,"[ [ ""勉強する (べんきょうする)"", ""study"" ], [ ""強化する (きょうかする)"", ""strengthen"" ], [ ""強力な (きょうりょくな)"", ""powerful"" ], [ ""強情な (ごうじょうな)"", ""obstinate"" ], [ ""強引な (ごういんな)"", ""coercive"" ], [ ""強盗 (ごうとう)"", ""robbery"" ], [ ""強い (つよい)"", ""strong"" ], [ ""強まる (つよまる)"", ""get strong [v.i.]"" ], [ ""強める (つよめる)"", ""strengthen [v.t.]"" ], [ ""強いる (しいる)"", ""force, compel"" ] ]","つよ、つよい、つよめる、つよまる、し、しいる","強",68.0,"[ { ""chapter"" : ""10"", ""txt_bk"" : ""lesson"" }, { ""chapter"" : ""21"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""txtAd3"" }, { ""chapter"" : ""11"", ""txt_bk"" : ""txtGenki"" }, { ""chapter"" : ""13"", ""txt_bk"" : ""txtSFJ2"" }, { ""chapter"" : ""13"", ""txt_bk"" : ""txtSFJ"" }, { ""chapter"" : ""9"", ""txt_bk"" : ""txtHarrison"" }, { ""chapter"" : ""4"", ""txt_bk"" : ""txtAP"" }, { ""chapter"" : ""8"", ""txt_bk"" : ""txtLookLearn"" } ]","tsuyo(i)","",349.0,"yumihen",1571.0,"Bow shaped 弓 cocoon ム insect 虫; the soft silkworm became a firm larva.",3.0,"キョウ、ゴウ","bow （in archery）","kyou, gou","ka_57","へん","hen"
